Date,Open,High,Low,Close,Volume,Adj Close
1998-03-02,62.98,62.98,61.31,61.87,588000,14.45
1998-02-27,62.86,62.98,61.31,62.48,818400,14.59
1998-02-26,62.48,63.41,61.99,62.67,856800,14.63
1998-02-25,60.94,63.23,60.76,62.73,908800,14.65
1998-02-24,60.08,61.62,60.08,60.94,984000,14.23
1998-02-23,60.69,60.69,59.89,60.08,572800,14.03
1998-02-20,60.76,60.76,59.95,60.45,696400,14.12
1998-02-19,59.89,60.76,59.27,60.57,983600,14.14
1998-02-18,57.92,60.94,57.79,60.69,1370000,14.17
1998-02-17,57.36,58.29,57.05,58.16,780000,13.58
1998-02-13,56.93,58.04,56.56,57.48,846400,13.42
1998-02-12,56.74,57.24,55.69,57.17,1150400,13.35
1998-02-11,57.42,57.73,57.17,57.24,779200,13.37
1998-02-10,55.69,57.36,55.69,57.17,1341600,13.35
1998-02-09,55.45,55.94,55.45,55.88,631200,13.05
1998-02-06,54.83,55.57,54.58,55.45,650400,12.95
1998-02-05,56.17,56.48,54.38,54.69,1545600,12.75
1998-02-04,54.32,56.17,54.32,55.93,1172800,13.04
1998-02-03,55.06,55.06,54.32,54.38,800000,12.68
1998-02-02,54.20,55.00,53.52,54.57,1480800,12.73
1998-01-30,53.46,54.08,53.03,53.58,911600,12.50
1998-01-29,52.47,53.34,52.47,53.27,1657600,12.42
1998-01-28,50.87,52.66,50.81,52.29,1214800,12.19
1998-01-27,49.33,51.05,49.20,50.81,955200,11.85
1998-01-26,49.20,50.01,49.20,49.39,932000,11.52
1998-01-23,50.19,50.56,48.77,48.83,1035200,11.39
1998-01-22,51.42,51.61,50.13,50.19,803200,11.70
1998-01-21,51.79,51.98,51.30,51.67,1152800,12.05
1998-01-20,51.92,52.04,50.81,51.98,1256000,12.12
1998-01-16,51.42,51.73,50.87,51.05,1416000,11.91
1998-01-15,51.73,52.04,50.87,51.42,1572000,11.99
1998-01-14,51.92,52.23,51.55,51.98,1445600,12.12
1998-01-13,50.25,51.73,50.19,51.42,2904800,11.99
1998-01-12,49.20,50.44,49.08,50.13,3630400,11.69
1998-01-09,52.29,52.66,50.25,50.25,13760400,11.72
1998-01-08,53.27,53.27,51.18,52.16,7460000,12.16
1998-01-07,51.12,54.51,48.83,54.51,1546400,12.71
1998-01-06,50.50,52.04,49.70,50.93,1302800,11.88
1998-01-05,50.19,51.18,50.13,50.25,720400,11.72
